Trade#,Symbol,Type,Side,Entry Time,Entry Price,Entry Fee,Exit Time,Exit Price,Exit Fee,Size,Gross P&L,Net P&L,Return %,Hold Hours,Exit Reason,Peak Price,Peak ROC
1,ZKP-USD,roc_momentum,buy,2025-12-21 16:06:00+00:00,0.12895,0.25,2025-12-21 16:07:00+00:00,0.13051,0.25302442807289643,193.87359441644045,0.3024428072896429,-0.20058162078325356,1.2097712291585716,0.016666666666666666,roc_peak_drop,0.13051,5.69672131147542
2,ZKP-USD,roc_momentum,buy,2025-12-21 16:16:00+00:00,0.15093,0.25,2025-12-21 16:17:00+00:00,0.152,0.25177234479560057,165.63970052342145,0.1772344795600589,-0.3245378652355417,0.7089379182402356,0.016666666666666666,roc_peak_drop,0.152,8.951129719194416
3,ZKP-USD,roc_momentum,buy,2025-12-21 17:53:00+00:00,0.15605,0.25,2025-12-21 17:54:00+00:00,0.1584,0.2537648189682794,160.20506247997437,0.37648189682794275,-0.12728292214033665,1.505927587311771,0.016666666666666666,roc_peak_drop,0.1584,6.2648961525365925
4,THQ-USD,roc_momentum,buy,2025-12-23 02:57:00+00:00,0.0578,0.25,2025-12-23 02:58:00+00:00,0.0625,0.2703287197231834,432.52595155709344,2.0328719723183406,1.512543252595157,8.131487889273362,0.016666666666666666,take_profit,0.0625,8.667042677194955
5,THQ-USD,roc_momentum,buy,2025-12-23 02:58:00+00:00,0.0625,0.25,2025-12-23 02:59:00+00:00,0.0685,0.274,400.0,2.400000000000002,1.876000000000002,9.600000000000009,0.016666666666666666,take_profit,0.0685,9.600000000000009
6,THQ-USD,roc_momentum,buy,2025-12-23 02:59:00+00:00,0.0685,0.25,2025-12-23 03:00:00+00:00,0.06869,0.2506934306569343,364.963503649635,0.06934306569342909,-0.4313503649635052,0.27737226277371635,0.016666666666666666,roc_peak_drop,0.06869,9.076433121019125
7,THQ-USD,roc_momentum,buy,2025-12-23 03:10:00+00:00,0.075,0.25,2025-12-23 03:11:00+00:00,0.075,0.25,333.33333333333337,0.0,-0.5,0.0,0.016666666666666666,roc_peak_drop,0.075,6.232294617563741
8,THQ-USD,roc_momentum,buy,2025-12-23 03:28:00+00:00,0.075,0.25,2025-12-23 03:29:00+00:00,0.07703,0.2567666666666667,333.33333333333337,0.6766666666666681,0.16990000000000136,2.7066666666666723,0.016666666666666666,roc_peak_drop,0.07703,5.042016806722677
9,ALEPH-USD,roc_momentum,buy,2025-12-25 12:46:00+00:00,0.0336,0.25,2025-12-25 12:47:00+00:00,0.0335,0.2492559523809524,744.047619047619,-0.07440476190475888,-0.5736607142857113,-0.2976190476190355,0.016666666666666666,roc_peak_drop,0.0336,5.329153605015675
10,ALEPH-USD,roc_momentum,buy,2025-12-25 16:09:00+00:00,0.0379,0.25,2025-12-25 16:10:00+00:00,0.038,0.25065963060686014,659.6306068601583,0.06596306068601314,-0.434696569920847,0.26385224274405256,0.016666666666666666,roc_peak_drop,0.038,5.2777777777777946
11,ALEPH-USD,roc_momentum,buy,2025-12-25 22:35:00+00:00,0.043,0.25,2025-12-25 22:36:00+00:00,0.0433,0.25174418604651166,581.3953488372093,0.17441860465116377,-0.3273255813953479,0.6976744186046551,0.016666666666666666,roc_peak_drop,0.0433,5.911330049261083
