Trade#,Symbol,Type,Side,Entry Time,Entry Price,Entry Fee,Exit Time,Exit Price,Exit Fee,Size,Gross P&L,Net P&L,Return %,Hold Hours,Exit Reason,Peak Price,Peak ROC
1,CORECHAIN-USD,roc_momentum,buy,2025-12-14 15:02:00+00:00,0.1634,0.25,2025-12-14 15:03:00+00:00,0.1617,0.24739902080783358,152.99877600979192,-0.2600979192166431,-0.7574969400244767,-1.0403916768665724,0.016666666666666666,roc_peak_drop,0.1634,0.4302397049784856
2,CORECHAIN-USD,roc_momentum,buy,2025-12-14 15:05:00+00:00,0.165,0.25,2025-12-14 15:09:00+00:00,0.1673,0.2534848484848485,151.5151515151515,0.34848484848484795,-0.15500000000000055,1.3939393939393918,0.06666666666666667,roc_peak_drop,0.1687,4.329004329004316
3,CORECHAIN-USD,roc_momentum,buy,2025-12-14 15:09:00+00:00,0.1673,0.25,2025-12-14 15:10:00+00:00,0.1669,0.24940227136879856,149.43215780035862,-0.05977286312014517,-0.5591751344889437,-0.23909145248058067,0.016666666666666666,roc_peak_drop,0.1673,2.4494794856093183
4,CORECHAIN-USD,roc_momentum,buy,2025-12-14 15:10:00+00:00,0.1669,0.25,2025-12-14 15:11:00+00:00,0.1682,0.25194727381665666,149.79029358897543,0.19472738166566742,-0.30721989215098927,0.7789095266626697,0.016666666666666666,roc_peak_drop,0.1682,1.1515151515151478
5,CORECHAIN-USD,roc_momentum,buy,2025-12-14 15:11:00+00:00,0.1682,0.25,2025-12-14 15:13:00+00:00,0.1686,0.2505945303210464,148.63258026159335,0.05945303210463904,-0.44114149821640736,0.23781212841855617,0.03333333333333333,roc_peak_drop,0.1714,1.8419489007724277
6,CORECHAIN-USD,roc_momentum,buy,2025-12-14 15:13:00+00:00,0.1686,0.25,2025-12-14 15:16:00+00:00,0.1708,0.25326215895610915,148.27995255041517,0.3262158956109145,-0.17704626334519463,1.304863582443658,0.05,roc_peak_drop,0.1725,3.355302576393049
7,CORECHAIN-USD,roc_momentum,buy,2025-12-14 15:16:00+00:00,0.1708,0.25,2025-12-14 15:17:00+00:00,0.1707,0.24985362997658078,146.37002341920373,-0.014637002341922825,-0.5144906323185036,-0.0585480093676913,0.016666666666666666,roc_peak_drop,0.1708,1.5457788347205792
8,CORECHAIN-USD,roc_momentum,buy,2025-12-14 15:17:00+00:00,0.1707,0.25,2025-12-14 15:19:00+00:00,0.1689,0.24736379613356768,146.4557703573521,-0.2636203866432332,-0.7609841827768008,-1.0544815465729327,0.03333333333333333,roc_peak_drop,0.1707,0.6524317912218303
9,CORECHAIN-USD,roc_momentum,buy,2025-12-14 15:19:00+00:00,0.1689,0.25,2025-12-14 15:20:00+00:00,0.1703,0.2520722320899941,148.01657785671995,0.20722320899940977,-0.2948490230905843,0.8288928359976391,0.016666666666666666,roc_reversal,0.1703,-1.2753623188405672
10,CORECHAIN-USD,roc_momentum,buy,2025-12-14 15:20:00+00:00,0.1703,0.25,2025-12-14 15:22:00+00:00,0.1708,0.2507339988256019,146.7997651203758,0.07339988256018797,-0.4273341162654139,0.29359953024075186,0.03333333333333333,roc_peak_drop,0.1713,0.29274004683841337
11,CORECHAIN-USD,roc_momentum,buy,2025-12-14 15:22:00+00:00,0.1708,0.25,2025-12-14 15:23:00+00:00,0.1691,0.24751170960187352,146.37002341920373,-0.2488290398126474,-0.7463407494145209,-0.9953161592505896,0.016666666666666666,roc_peak_drop,0.1708,0.05858230814295151
12,CORECHAIN-USD,roc_momentum,buy,2025-12-14 15:23:00+00:00,0.1691,0.25,2025-12-14 15:25:00+00:00,0.1709,0.2526611472501478,147.84151389710232,0.26611472501478356,-0.23654642223536426,1.0644589000591342,0.03333333333333333,roc_peak_drop,0.1709,1.1841326228537508
13,CORECHAIN-USD,roc_momentum,buy,2025-12-14 15:25:00+00:00,0.1709,0.25,2025-12-14 15:26:00+00:00,0.1711,0.25029256875365713,146.2843768285547,0.029256875365711782,-0.4710356933879453,0.11702750146284713,0.016666666666666666,roc_peak_drop,0.1711,0.35231943628890594
14,CORECHAIN-USD,roc_momentum,buy,2025-12-14 15:26:00+00:00,0.1711,0.25,2025-12-14 15:27:00+00:00,0.1707,0.2494155464640561,146.11338398597312,-0.05844535359439092,-0.557860900058447,-0.23378141437756367,0.016666666666666666,roc_reversal,0.1711,-0.058548009367687115
15,CORECHAIN-USD,roc_momentum,buy,2025-12-14 15:27:00+00:00,0.1707,0.25,2025-12-14 15:29:00+00:00,0.1708,0.2501464557703574,146.4557703573521,0.014645577035737661,-0.4855008787346197,0.058582308142950644,0.03333333333333333,roc_peak_drop,0.1709,1.0644589000591287
16,CORECHAIN-USD,roc_momentum,buy,2025-12-14 15:29:00+00:00,0.1708,0.25,2025-12-14 15:33:00+00:00,0.1727,0.25278103044496486,146.37002341920373,0.27810304449648493,-0.22467798594847993,1.1124121779859397,0.06666666666666667,roc_peak_drop,0.1737,1.7574692442882345
17,CORECHAIN-USD,roc_momentum,buy,2025-12-14 15:33:00+00:00,0.1727,0.25,2025-12-14 15:34:00+00:00,0.172,0.2489866821077012,144.7596988998263,-0.1013317892298793,-0.6003184713375805,-0.4053271569195172,0.016666666666666666,roc_peak_drop,0.1727,1.0532475131656005
