symbol,time,signal_price,roc,roc_score,vol_ratio,atr_fast_pct,close_1h,ema50_1h,trend_ok,fwd_15m,fwd_30m,fwd_1h,fwd_2h,fwd_4h,mfe_15m,mfe_30m,mfe_1h,mfe_2h,mfe_4h
ADA-USD,2025-11-30 05:15:00,0.4168,0.004692436733857721,1.099613080692195,2.5348781898044184,0.0042673525954273666,0.4179,0.4149817126202164,True,-0.0028790786948176077,-0.0016794625719769155,-0.0021593090211132725,0.0028790786948176077,0.007677543186180376,0.0007197696737044685,0.0007197696737044685,0.0009596928982725803,0.00503838771593088,0.01199616122840692
BTC-USD,2025-11-30 08:00:00,90988.11,0.0017739455301087437,1.3404930031073559,2.5493380068595473,0.001323353069353301,90988.11,90909.89381875229,True,0.00017013211946039901,0.001911898159001285,0.002273373960619754,0.004651267072148289,0.0007832891572316875,0.0007407561273664677,0.005001422713363234,0.005001422713363234,0.007212920457409145,0.007212920457409145
SOL-USD,2025-11-30 08:00:00,136.56,0.0029363628940789746,1.0295985543264725,2.9223881366565703,0.0028519493172752567,136.56,136.06533755871865,True,0.0005858230814292918,0.00043936731107207286,0.001830697129466901,0.0019039250146455104,-0.0007322788517867188,0.0009519625073227552,0.0038810779144698385,0.0038810779144698385,0.004027533684827265,0.004027533684827265
DOT-USD,2025-11-30 08:15:00,2.263,0.0029774775169304204,1.0536827777976072,2.358434961664758,0.002825781705528016,2.266,2.2584616425698933,True,0.0008837825894830861,0.003535130357931952,0.0026513477684490623,0.0008837825894830861,-0.00044189129474144493,0.005302695536897928,0.005302695536897928,0.005302695536897928,0.005302695536897928,0.005302695536897928
ETH-USD,2025-11-30 08:30:00,3009.27,0.004459229040625991,1.8044423799888565,2.2712373813889615,0.002471250448381471,3005.78,2998.6878805249853,True,0.0009005506318808336,-0.0006945205980188369,-0.0004120600677239934,0.0007576588342023814,0.0004220292629109325,0.0013956873261620985,0.0013956873261620985,0.0019406699963779074,0.0019406699963779074,0.00275814400170147
DOGE-USD,2025-11-30 10:00:00,0.14962,0.0033657379800672307,1.1465036144298413,2.504703670110462,0.002935654050895443,0.14962,0.14884646425459785,True,-0.0020050795348215125,-0.0009357037829167305,-0.003943323085149092,-0.005213206790536044,0.006082074588958656,0.000534687875952391,0.000534687875952391,0.000534687875952391,0.000534687875952391,0.006416254511428877
ETH-USD,2025-11-30 13:00:00,3026.7,0.0030104644737483227,1.1183654996014043,2.1580918453020037,0.0026918431182124986,3026.7,3001.0598527015563,True,-0.0003568242640499314,0.007004328146165882,0.007747712029603289,0.003981233686853729,0.005990022136320121,0.0005550599663000268,0.008081408795057336,0.008947038028215675,0.008947038028215675,0.008947038028215675
BTC-USD,2025-11-30 13:30:00,91868.06,0.0027702361304922755,1.237339615145077,2.2675163028036858,0.0022388648165665233,91485.87,90977.06907130133,True,-0.0019449632440261939,-0.000938084465917676,-0.0033750576642197264,-0.002917662569558926,-0.005068029084319366,0.0003348280131311069,0.0003348280131311069,0.0003348280131311069,0.0003348280131311069,0.0003348280131311069
SOL-USD,2025-11-30 13:30:00,139.16,0.009113765062819275,2.5985556038914597,5.110151979865711,0.003507242657871543,137.6,136.21341114760355,True,-0.0013653348663408863,0.0009341764874963743,-0.002658810002874422,-0.006036217303822962,-0.0020120724346076543,0.007401552170163849,0.007401552170163849,0.007401552170163849,0.007401552170163849,0.007401552170163849
ADA-USD,2025-11-30 13:30:00,0.4251,0.006936392233844349,1.5422023650602932,3.0349305936115756,0.004497718581551499,0.4221,0.4160522809326248,True,-0.00023523876734883318,0.0018819101387909268,-0.0007057163020464996,-0.003293342742883926,-0.0028228652081862594,0.00211714890613976,0.00211714890613976,0.0030581039755352233,0.0030581039755352233,0.00564573041637265
DOGE-USD,2025-11-30 13:30:00,0.15038,0.004367796508831687,1.4620209291857076,4.326240642299517,0.0029875061441592293,0.14958,0.1488816308440131,True,-6.649820454854368e-05,0.000997473068227048,-0.0030589174092300565,-0.004322383295651095,-0.003923394068360201,0.0013299640909693973,0.0013299640909693973,0.0013299640909693973,0.0013299640909693973,0.0016624551137117466
LINK-USD,2025-11-30 13:30:00,13.284,0.007781618817330435,1.9374224327266192,3.925467737595891,0.004016480188256633,13.123,13.030124257011092,True,0.00015055706112608336,0.0025594700391447546,0.0018819632640769781,-0.00022583559168925878,0.0018066847335139365,0.0033122553447755723,0.0033122553447755723,0.003688647997591048,0.003688647997591048,0.010388437217705502
DOT-USD,2025-11-30 13:45:00,2.286,0.0057140101746644065,1.6807289125542084,5.981341652015461,0.003399721473215338,2.271,2.259785282764361,True,0.00043744531933503493,-0.001749781277340334,-0.007436570428696371,-0.010498687664042003,-0.002187226596675369,0.0008748906386700699,0.001312335958005299,0.001312335958005299,0.001312335958005299,0.001312335958005299
DOT-USD,2025-12-02 12:00:00,2.096,0.016191491464508434,3.065210993874808,3.3391012620575116,0.005282341573504659,2.096,2.0952653778644774,True,-0.0009541984732825495,-0.004293893129770943,-0.005248091603053492,0.007156488549618379,0.07108778625954199,0.0009541984732823377,0.0009541984732823377,0.0009541984732823377,0.009064885496183266,0.07442748091603038
ADA-USD,2025-12-02 12:15:00,0.3943,0.014877896554469732,2.9364324510735638,3.7217269839547598,0.005066657177497937,0.3939,0.3935658281991423,True,0.000507227998985629,0.0012680699974638612,0.002028911995942234,0.013948769972102473,0.09535886380928234,0.0012680699974638612,0.0032969819934060953,0.0048186659903627005,0.015977681968044707,0.09738777580522442
BTC-USD,2025-12-02 14:15:00,88350.25,0.005710507666603014,1.5505695766894003,2.4038614585180116,0.0036828451637722958,87733.17,87526.53592569807,True,0.0037277766616393934,0.005503889349492549,0.026166083287823168,0.028918197741375867,0.03945444410174275,0.005215039006680796,0.006361272322376044,0.028870886047294715,0.033386889114631876,0.041639044598062905
LINK-USD,2025-12-02 14:15:00,12.422,0.01179843859502205,2.458948657813638,3.1128537843797903,0.004798163864678888,12.357,12.324234424375618,True,0.005474158750603736,0.015697955240702003,0.04540331669618419,0.07808726453067129,0.07382064079858314,0.009096763806150342,0.01642247625181121,0.04741587506037664,0.08082434390597323,0.08670101432941554
SOL-USD,2025-12-02 14:30:00,131.67,0.020039130631702932,3.7589373606560303,2.509038964761687,0.005331062667191026,130.59,129.0946386142866,True,0.004404951773372921,0.010176957545378625,0.02840434419381795,0.05172020961494648,0.0614414824941141,0.005392268550163348,0.013670539986329548,0.03896103896103915,0.0632642211589581,0.07032733348522838
ETH-USD,2025-12-02 15:00:00,2895.59,0.01773988044552454,3.4652520288833726,4.350675101646406,0.005119362256384267,2895.59,2852.5303057175583,True,0.020797143241964435,0.02218891486709099,0.03847575105591601,0.03468723127238319,0.04103826853939954,0.02489648051001685,0.030888350906032983,0.04483714890574975,0.044871684181807446,0.04809037191038786
XRP-USD,2025-12-02 15:00:00,2.0932,0.01859368306675114,3.529049574416912,2.9405265590472256,0.00526875088452768,2.0932,2.0641425758894716,True,0.018583986241161827,0.013806611886107467,0.029810815975539955,0.025702274030192936,0.039174469711446516,0.022023695776801085,0.026944391362507168,0.03454041658704388,0.03454041658704388,0.04208866806802974
DOGE-USD,2025-12-02 15:00:00,0.14178,0.020536964154891407,4.113299527394738,2.911664714189786,0.0049928200020724015,0.14178,0.13893690556165111,True,0.019043588658485034,0.010509239667089993,0.03202144167019337,0.02800112850895755,0.031739314430808324,0.02341656086895202,0.023487092678798137,0.042530681337283174,0.042530681337283174,0.042530681337283174
AVAX-USD,2025-12-02 15:15:00,13.46,0.02673587357135835,4.251466631990013,2.861119458790624,0.006288623641118385,13.29,13.17957423941948,True,-0.0007429420505201755,0.013372956909361048,0.015601783060921179,0.008915304606240654,0.014858841010401134,0.008915304606240654,0.018573551263001486,0.02005943536404157,0.02005943536404157,0.02005943536404157
ADA-USD,2025-12-02 15:30:00,0.4153,0.039442095383434926,5.123438981999856,3.477115198935073,0.007698363447287374,0.4074,0.39435326323812786,True,0.029376354442571608,0.031061882976161866,0.030339513604623163,0.04141584396821573,0.04454611124488326,0.03491451962436796,0.03804478690103535,0.04189742354924144,0.04526848061642182,0.04526848061642182
LINK-USD,2025-12-02 15:30:00,13.021,0.04596932675663305,6.306960829820192,2.729961834024299,0.007288665332957777,12.713,12.339480133223633,True,0.021810920820213416,0.020966131633515066,0.023423700176637717,0.03210198909453953,0.0314875969587588,0.02303970509177474,0.02987481760233464,0.031103601873895964,0.03263958221334758,0.036709930112894536
DOGE-USD,2025-12-02 16:30:00,0.1451,0.05168531472486298,6.139694216833505,2.0219727754491643,0.008418222943930135,0.14632,0.13922643867688048,True,0.001309441764300453,0.004479669193659434,0.012267401791867702,0.008614748449345287,0.002274293590627133,0.005444521019986114,0.00785665058580291,0.015506547208821515,0.015506547208821515,0.015506547208821515
LINK-USD,2025-12-03 01:30:00,13.636,0.007007921779902653,1.151199635841943,2.8610204239711186,0.0060874947851919095,13.582,12.692604917266715,True,0.002126723379290108,0.005793487826342082,0.01965385743619835,0.021560574948665333,0.04004106776180707,0.003300088002346724,0.008066881783514316,0.022587268993839955,0.025667351129363556,0.04502786740979765
ETH-USD,2025-12-03 02:15:00,3045.3,0.006459118835346406,1.321987287146656,2.6937319669324187,0.004885915997942465,3016.33,2907.0146620536034,True,-0.001031097100449981,-0.004902636850228316,-0.0053459429284471805,-0.0014744031786688458,0.008222506813778598,0.0010442320953600091,0.0010442320953600091,0.0010442320953600091,0.0010442320953600091,0.0103930647226873
DOT-USD,2025-12-03 02:15:00,2.297,0.01017531549822642,1.9559481458206205,2.6021823404676465,0.005202241951029511,2.275,2.15446819191826,True,0.001306051371353796,-0.0043535045711799,-0.0043535045711799,0.001306051371353796,0.01218981279930345,0.003918154114061775,0.003918154114061775,0.003918154114061775,0.003918154114061775,0.014801915542011235
BTC-USD,2025-12-03 02:30:00,92812.89,0.010575453789260293,2.482986539309556,2.2991292653284097,0.00425916678235437,92268.9,89012.2007170852,True,-0.0015143370710685004,0.00011970320070844235,0.0003753788940307376,0.00020589812471091657,0.01229462847240298,0.0005613444425661761,0.0006195260162677835,0.003093428078793803,0.005538778072744066,0.012559031401780501
XRP-USD,2025-12-03 02:30:00,2.1861,0.006600328883397293,1.2623428523499376,3.215543214142701,0.00522863409976959,2.1614,2.0993127403497502,True,-0.0006404098623120121,-0.0011435890398426177,-0.0021042038333104326,-0.0023329216412790376,0.00965189149627175,0.0006861534239056112,0.0006861534239056112,0.002470152326060038,0.002470152326060038,0.015324093133891239
AVAX-USD,2025-12-03 02:30:00,13.85,0.008369983433801317,2.025873361561631,3.627704747555287,0.004131543260606068,13.71,13.351311194636274,True,-0.007220216606498169,-0.004332129963898953,-0.0014440433212996083,0.0014440433212996083,0.028158844765343003,-0.0007220216606498042,-0.0007220216606498042,-0.0007220216606498042,0.005776173285198561,0.036101083032490974
ADA-USD,2025-12-03 03:00:00,0.438,0.010230399668232394,1.8271271331240546,2.0356582769360876,0.0055991723196296,0.438,0.4094789737670163,True,-0.0018264840182648926,0.0006849315068493664,0.0004566210045661598,0.005936073059360711,0.016666666666666604,0.0018264840182648926,0.0018264840182648926,0.0018264840182648926,0.007534246575342523,0.02100456621004563
SOL-USD,2025-12-03 05:00:00,142.32,0.013030865770280408,2.5617347087736726,3.024557689521239,0.00508673506497416,142.32,133.68758029620702,True,0.0024592467678470654,0.0011242270938729385,0.005340078695896707,0.0014755480607083192,-0.0009836987071387463,0.0070264193367060145,0.0070264193367060145,0.0070264193367060145,0.013912310286678038,0.013912310286678038
DOGE-USD,2025-12-03 05:00:00,0.14946,0.010192276462524498,2.1752757302636754,2.394964130453924,0.004685510126704279,0.14946,0.14224481730909724,True,0.0026093938177438876,0.0035460992907801595,0.007226013649136876,0.007560551318078363,0.008363441723538078,0.00689147598019539,0.00689147598019539,0.00990231500066895,0.023283821758329874,0.023283821758329874
DOT-USD,2025-12-03 05:15:00,2.318,0.010045017350893005,1.971078200045875,3.7944218616847953,0.005096204377207975,2.319,2.170972403607899,True,0.0008628127696288955,0.0,0.0030198446937015175,-0.007765314926661017,-0.003451251078515965,0.0008628127696288955,0.0012942191544435349,0.005176876617773948,0.005176876617773948,0.005176876617773948
AVAX-USD,2025-12-03 13:30:00,14.16,0.005063420250370035,1.299260863456141,2.3362843068198775,0.0038971544458754194,14.11,13.596481885138349,True,0.004237288135593255,0.002118644067796565,-0.0063559322033898205,-0.0014124293785310433,0.012711864406779641,0.004237288135593255,0.004943502824858777,0.004943502824858777,0.009180790960451907,0.01765536723163842
ETH-USD,2025-12-03 14:45:00,3132.39,0.00736836705432466,1.0732539679582855,4.618811012242859,0.006865445900323053,3090.9,2966.173324893479,True,-0.017679790830643582,-0.020501917066521026,-0.015917558158466755,-0.00807370729698408,0.0022698323005756397,0.00029051299486983076,0.00029051299486983076,0.00029051299486983076,0.00029051299486983076,0.003613853958159796
DOT-USD,2025-12-03 18:45:00,2.319,0.013112951012830141,2.1984335309386616,4.594398581207956,0.0059646793174735315,2.33,2.2232458058229043,True,-0.003449762828805523,-0.00301854247520488,-0.0004312203536006425,0.004312203536006999,0.01983613626563185,0.0008624407072014764,0.0008624407072014764,0.001293661060802119,0.004312203536006999,0.02285467874083654
XRP-USD,2025-12-03 21:15:00,2.2006,0.006571919277667402,1.3587870654182101,2.715574939726026,0.004836607180717226,2.1988,2.1435686037358264,True,0.00127238025992897,0.000772516586385547,0.0026356448241387827,0.0023629919112968605,0.0048623102790147825,0.0015904753249113134,0.002044896846314517,0.00577115332182119,0.006043806234663314,0.006043806234663314
ADA-USD,2025-12-03 21:15:00,0.4482,0.009683406578925538,1.5184238152699219,2.212763170310414,0.006377275225497021,0.4469,0.425134843536378,True,0.0008924587237840505,0.004908522980812216,0.004908522980812216,0.009593931280678328,0.016287371709058522,0.0015618027666221195,0.005354752342704179,0.013163766175814405,0.013163766175814405,0.016956715751896466
AVAX-USD,2025-12-03 21:30:00,14.64,0.008355849935110675,1.405263541990349,2.5339043472633906,0.005946108815486555,14.45,13.793904985952095,True,0.010245901639344164,0.01775956284153004,0.012978142076502698,0.011612021857923493,0.007513661202185753,0.010245901639344164,0.01844262295081964,0.030054644808743133,0.030054644808743133,0.030054644808743133
SOL-USD,2025-12-03 22:00:00,145.53,0.014484310481925979,2.2020708468282773,2.9689512732879724,0.006577586049417192,145.53,137.76601028744432,True,-0.005703291417577218,-0.012712155569298387,-0.006665292379578086,-0.005840720126434373,-0.009070294784580452,0.0028860028860028,0.0028860028860028,0.0028860028860028,0.0028860028860028,0.009551295265580887
DOGE-USD,2025-12-03 23:15:00,0.15271,0.010836371527422627,2.02095775768923,2.865891408363773,0.005361998035927763,0.15239,0.14648463586362265,True,-0.0043219173597015366,-0.004780302534215234,-0.010411891821098867,0.0022919258725688507,-0.0066793268286295645,0.0003929015781545199,0.0003929015781545199,0.0003929015781545199,0.002422893065287024,0.0032086962215964274
ADA-USD,2025-12-04 07:45:00,0.4522,0.00809633088138632,1.494317297149161,2.210604611274426,0.005418080147256807,0.4516,0.43329896593403106,True,-0.000663423264042386,-0.005528527200353831,-0.006855373728438726,-0.005086245024325451,-0.015037593984962346,0.00044228217602838014,0.001105705440070766,0.001105705440070766,0.001105705440070766,0.001105705440070766
