time,open,high,low,close,volume
2025-11-29 23:21:00,2.2032,2.2045,2.2032,2.2038,13400.612913
2025-11-29 23:22:00,2.2039,2.2048,2.2037,2.2048,5181.126555
2025-11-29 23:23:00,2.2048,2.2048,2.2038,2.2045,22277.41789
2025-11-29 23:24:00,2.2046,2.2059,2.2044,2.2056,8878.303659
2025-11-29 23:25:00,2.2056,2.2067,2.2054,2.2061,16783.394453
2025-11-29 23:26:00,2.2062,2.2062,2.2053,2.2056,4223.924906
2025-11-29 23:27:00,2.2055,2.2055,2.2038,2.2042,16100.900985
2025-11-29 23:28:00,2.2042,2.2044,2.2023,2.2023,14028.40081
2025-11-29 23:29:00,2.2022,2.2024,2.2014,2.2015,3381.180587
2025-11-29 23:30:00,2.2015,2.2029,2.2013,2.2028,10090.015912
2025-11-29 23:31:00,2.2028,2.2031,2.2022,2.2024,4171.430385
2025-11-29 23:32:00,2.2023,2.2031,2.202,2.2029,5488.706674
2025-11-29 23:33:00,2.2027,2.2036,2.2017,2.2034,19177.105604
2025-11-29 23:34:00,2.2033,2.2033,2.2021,2.2022,11150.224169
2025-11-29 23:35:00,2.2024,2.2025,2.2016,2.2017,6612.859656
2025-11-29 23:36:00,2.2016,2.2021,2.2015,2.202,6879.073841
2025-11-29 23:37:00,2.2021,2.2021,2.2016,2.2018,7484.756961
2025-11-29 23:38:00,2.2018,2.2032,2.2018,2.2027,13779.853676
2025-11-29 23:39:00,2.2028,2.2037,2.2026,2.2032,19705.971422
2025-11-29 23:40:00,2.2031,2.2034,2.2024,2.2024,8184.445911
2025-11-29 23:41:00,2.2024,2.2024,2.2015,2.2015,24208.044283
2025-11-29 23:42:00,2.2016,2.202,2.2009,2.2013,25272.663739
2025-11-29 23:43:00,2.2013,2.2017,2.2003,2.2014,50296.946527
2025-11-29 23:44:00,2.2016,2.2018,2.2015,2.2018,4730.008936
2025-11-29 23:45:00,2.2019,2.2019,2.2011,2.2016,6977.939751
2025-11-29 23:46:00,2.2015,2.2023,2.2012,2.2015,2034.849846
2025-11-29 23:47:00,2.2015,2.2029,2.201,2.2029,6654.886457
2025-11-29 23:48:00,2.2029,2.2036,2.2023,2.2031,21783.532254
2025-11-29 23:49:00,2.2031,2.2031,2.2003,2.2003,17041.829917
2025-11-29 23:50:00,2.2004,2.2013,2.2004,2.2013,7107.302081
2025-11-29 23:51:00,2.2013,2.203,2.2013,2.2028,8205.280455
2025-11-29 23:52:00,2.2028,2.2051,2.2028,2.205,5583.915074
2025-11-29 23:53:00,2.2046,2.2049,2.2039,2.2045,2561.365585
2025-11-29 23:54:00,2.2044,2.2044,2.2031,2.2032,5310.761201
2025-11-29 23:55:00,2.2033,2.2036,2.203,2.2036,6395.125764
2025-11-29 23:56:00,2.2035,2.2036,2.203,2.2031,5118.043964
2025-11-29 23:57:00,2.2031,2.2031,2.2027,2.203,2699.041787
2025-11-29 23:58:00,2.2031,2.2038,2.2027,2.2029,41798.476212
2025-11-29 23:59:00,2.2028,2.2028,2.2014,2.2014,28913.281538
2025-11-30 00:00:00,2.2015,2.2018,2.2007,2.2016,8319.922125
2025-11-30 00:01:00,2.2015,2.2015,2.2006,2.2014,9952.143128
2025-11-30 00:02:00,2.2014,2.202,2.2003,2.2004,12053.914354
2025-11-30 00:03:00,2.2005,2.2009,2.1996,2.2009,19631.308906
2025-11-30 00:04:00,2.2009,2.2014,2.2003,2.2004,6254.833202
2025-11-30 00:05:00,2.2002,2.2013,2.2,2.2005,15153.523358
2025-11-30 00:06:00,2.2007,2.2017,2.2007,2.2016,5295.033192
2025-11-30 00:07:00,2.2017,2.2041,2.2,2.2041,37975.663869
2025-11-30 00:08:00,2.2038,2.205,2.2015,2.2026,23624.534555
2025-11-30 00:09:00,2.2026,2.2034,2.2025,2.2029,21731.541713
2025-11-30 00:10:00,2.2029,2.2038,2.2027,2.2031,9792.96413
2025-11-30 00:11:00,2.2031,2.2039,2.2029,2.2035,7625.14256
2025-11-30 00:12:00,2.2034,2.2044,2.203,2.2044,43668.303289
