Trade#,Symbol,Type,Side,Entry Time,Entry Price,Entry Fee,Exit Time,Exit Price,Exit Fee,Size,Gross P&L,Net P&L,Return %,Hold Hours,Exit Reason,Peak Price,Peak ROC
1,ZKC-USD,roc_momentum,buy,2025-12-25 08:12:00+00:00,0.1346,0.25,2025-12-25 08:16:00+00:00,0.14,0.2600297176820208,185.73551263001485,1.0029717682020831,0.4929420505200624,4.0118870728083325,0.06666666666666667,take_profit,0.14,
2,ALEPH-USD,roc_momentum,buy,2025-12-25 12:43:00+00:00,0.0309,0.25,2025-12-25 12:46:00+00:00,0.0336,0.27184466019417475,809.0614886731391,2.184466019417474,1.662621359223299,8.737864077669895,0.05,take_profit,0.0336,
3,ALEPH-USD,roc_momentum,buy,2025-12-25 12:46:00+00:00,0.0336,0.25,2025-12-25 12:49:00+00:00,0.0319,0.23735119047619047,744.047619047619,-1.2648809523809526,-1.752232142857143,-5.05952380952381,0.05,stop_loss,0.0336,
4,ALEPH-USD,roc_momentum,buy,2025-12-25 14:11:00+00:00,0.0346,0.25,2025-12-25 14:14:00+00:00,0.0362,0.26156069364161855,722.5433526011561,1.1560693641618527,0.6445086705202343,4.624277456647411,0.05,take_profit,0.0362,
5,ALEPH-USD,roc_momentum,buy,2025-12-25 22:35:00+00:00,0.043,0.25,2025-12-25 22:48:00+00:00,0.0405,0.2354651162790698,581.3953488372093,-1.4534883720930207,-1.9389534883720905,-5.813953488372083,0.21666666666666667,stop_loss,0.044,
6,KAITO-USD,roc_momentum,buy,2025-12-27 00:01:00+00:00,0.5396,0.25,2025-12-27 00:05:00+00:00,0.5754,0.2665863602668644,46.330615270570796,1.658636026686437,1.1420496664195727,6.634544106745748,0.06666666666666667,take_profit,0.5754,
7,SPK-USD,roc_momentum,buy,2025-12-28 03:52:00+00:00,0.02546,0.25,2025-12-28 03:58:00+00:00,0.02386,0.2342890809112333,981.9324430479184,-1.57109190887667,-2.055380989787903,-6.28436763550668,0.1,stop_loss,0.02556,
8,RARI-USD,roc_momentum,buy,2025-12-28 20:35:00+00:00,0.362,0.25,2025-12-28 20:50:00+00:00,0.3767,0.26015193370165746,69.06077348066299,1.0151933701657452,0.5050414364640878,4.060773480662981,0.25,take_profit,0.3767,
9,RARI-USD,roc_momentum,buy,2025-12-28 20:53:00+00:00,0.3937,0.25,2025-12-28 20:54:00+00:00,0.412,0.26162052324104645,63.500127000254004,1.1620523241046472,0.6504318008636006,4.648209296418589,0.016666666666666666,take_profit,0.412,
10,RARI-USD,roc_momentum,buy,2025-12-28 20:54:00+00:00,0.412,0.25,2025-12-28 20:55:00+00:00,0.3929,0.2384101941747573,60.67961165048544,-1.158980582524269,-1.6473907766990261,-4.635922330097076,0.016666666666666666,stop_loss,0.412,
11,RARI-USD,roc_momentum,buy,2025-12-28 21:48:00+00:00,0.4113,0.25,2025-12-28 21:57:00+00:00,0.389,0.23644541697058108,60.78288353999514,-1.3554583029418907,-1.841903719912472,-5.421833211767563,0.15,stop_loss,0.4182,
12,RARI-USD,roc_momentum,buy,2025-12-29 06:06:00+00:00,0.3996,0.25,2025-12-29 06:09:00+00:00,0.3795,0.23742492492492492,62.56256256256256,-1.257507507507508,-1.744932432432433,-5.030030030030032,0.05,stop_loss,0.3996,
13,RARI-USD,roc_momentum,buy,2025-12-29 09:09:00+00:00,0.3826,0.25,2025-12-29 10:01:00+00:00,0.365,0.23849973863042342,65.34239414532149,-1.1500261369576585,-1.6385258755880818,-4.600104547830634,0.8666666666666667,stop_loss,0.3896,
14,ZRX-USD,roc_momentum,buy,2025-12-30 00:07:00+00:00,0.17,0.25,2025-12-30 00:08:00+00:00,0.179016,0.26325882352941177,147.05882352941177,1.3258823529411758,0.8126235294117641,5.303529411764703,0.016666666666666666,take_profit,0.179016,
15,ZRX-USD,roc_momentum,buy,2025-12-30 00:08:00+00:00,0.179016,0.25,2025-12-30 00:09:00+00:00,0.188217,0.26284941010859364,139.65232158019396,1.2849410108593626,0.772091600750769,5.1397640434374505,0.016666666666666666,take_profit,0.188217,
16,ZRX-USD,roc_momentum,buy,2025-12-30 00:09:00+00:00,0.188217,0.25,2025-12-30 00:10:00+00:00,0.1778,0.23616357714765407,132.82540896943422,-1.3836422852345938,-1.869805862382248,-5.534569140938375,0.016666666666666666,stop_loss,0.188217,
17,ZRX-USD,roc_momentum,buy,2025-12-30 00:16:00+00:00,0.194066,0.25,2025-12-30 00:27:00+00:00,0.184188,0.23727494769820576,128.82215328805665,-1.2725052301794233,-1.759780177877629,-5.090020920717693,0.18333333333333332,stop_loss,0.199722,
18,ZRX-USD,roc_momentum,buy,2025-12-30 10:30:00+00:00,0.192105,0.25,2025-12-30 10:49:00+00:00,0.18291,0.2380338877176544,130.13716457145833,-1.1966112282345605,-1.6846451159522147,-4.786444912938242,0.31666666666666665,stop_loss,0.192105,
19,AMP-USD,roc_momentum,buy,2026-01-01 00:40:00+00:00,0.00211,0.25,2026-01-01 01:11:00+00:00,0.00226,0.2677725118483412,11848.341232227489,1.7772511848341228,1.2594786729857816,7.109004739336491,0.5166666666666667,take_profit,0.00226,
20,AMP-USD,roc_momentum,buy,2026-01-01 12:31:00+00:00,0.00252,0.25,2026-01-01 13:33:00+00:00,0.00233,0.23115079365079363,9920.63492063492,-1.8849206349206356,-2.3660714285714293,-7.539682539682542,1.0333333333333334,stop_loss,0.00255,
21,AMP-USD,roc_momentum,buy,2026-01-01 21:39:00+00:00,0.00232,0.25,2026-01-01 21:41:00+00:00,0.00244,0.2629310344827586,10775.862068965516,1.2931034482758608,0.7801724137931022,5.172413793103443,0.03333333333333333,take_profit,0.00244,
22,AMP-USD,roc_momentum,buy,2026-01-01 21:41:00+00:00,0.00244,0.25,2026-01-01 21:48:00+00:00,0.00229,0.2346311475409836,10245.901639344263,-1.536885245901639,-2.0215163934426226,-6.147540983606556,0.11666666666666667,stop_loss,0.00244,
23,PRCL-USD,roc_momentum,buy,2026-01-05 17:22:00+00:00,0.0445,0.25,2026-01-05 17:24:00+00:00,0.0475,0.2668539325842697,561.7977528089888,1.685393258426968,1.1685393258426982,6.741573033707872,0.03333333333333333,take_profit,0.0475,
24,BREV-USD,roc_momentum,buy,2026-01-07 03:07:00+00:00,0.5498,0.25,2026-01-07 03:08:00+00:00,0.48,0.21826118588577664,45.471080392870135,-3.1738814114223346,-3.642142597308111,-12.695525645689338,0.016666666666666666,stop_loss,0.5498,
25,BREV-USD,roc_momentum,buy,2026-01-07 03:49:00+00:00,0.47,0.25,2026-01-07 05:08:00+00:00,0.4919,0.2616489361702128,53.19148936170213,1.1648936170212782,0.6532446808510655,4.659574468085113,1.3166666666666667,take_profit,0.4919,
